sa2_code,sa2_name,dhb,pop_cnt,dose1_cnt,dose2_cnt,dose1_uptake,dose2_uptake
141500,Epsom East,Auckland,94,82,75, 872 , 798 
141700,Epsom South,Auckland,49,40,36, 816 , 735 
141900,Meadowbank West,Auckland,111,103,95, 928 , 856 
142000,Hillsborough North (Auckland),Auckland,310,270,237, 871 , 765 
142100,Hillsborough West (Auckland),Auckland,272,250,236, 919 , 868 
142200,Greenlane North,Auckland,106,100,90, 943 , 849 
142300,Waikowhai North,Auckland,918,783,694, 853 , 756 
142500,Waikowhai South,Auckland,124,Masked,108, >950 , 871 
142600,Royal Oak West (Auckland),Auckland,171,144,136, 842 , 795 
142700,Saint Heliers West,Auckland,41,Masked,35, >950 , 854 
