SA22023_CODE,SA22023,Type,SA22018_CODE,SA22018
175001,Matamata West,Many To Many Map,175000,Matamata South
175002,Matamata East,Many To Many Map,174800,Hinuera
175002,Matamata East,Many To Many Map,175000,Matamata South
175100,Te Poi,Simple Map,175100,Te Poi
175201,Te Rapa North,Many To Many Map,175200,Te Rapa North
175301,Flagstaff North West,Many To Many Map,175500,Flagstaff South
175301,Flagstaff North West,Many To Many Map,175300,Flagstaff North
175302,Flagstaff North East,Many To Many Map,175300,Flagstaff North
175401,Burbush-Baverstock,Simple Map,175400,Rotokauri-Waiwhakareke
175501,Flagstaff South,Many To Many Map,175500,Flagstaff South
175601,Rototuna North,Many To Many Map,175600,Rototuna North
175700,Pukete West,Simple Map,175700,Pukete West
175801,Flagstaff East,Many To Many Map,175800,Flagstaff East
175801,Flagstaff East,Many To Many Map,175500,Flagstaff South
175901,Rototuna West,Many To Many Map,175900,Rototuna Central
175902,Rototuna East,Many To Many Map,175600,Rototuna North
175902,Rototuna East,Many To Many Map,175900,Rototuna Central
176000,Pukete East,Simple Map,176000,Pukete East
176101,Te Manatu,Many To Many Map,176100,Te Manatu
176101,Te Manatu,Many To Many Map,175900,Rototuna Central
176201,Rototuna South West,Many To One Map,176200,Rototuna South
176202,Rototuna South East,Many To One Map,176200,Rototuna South
176301,Te Rapa South,Many To Many Map,175200,Te Rapa North
176301,Te Rapa South,Many To Many Map,176300,Te Rapa South
176400,Saint Andrews West,Simple Map,176400,Saint Andrews West
176500,Saint Andrews East,Simple Map,176500,Saint Andrews East
176600,Queenwood (Hamilton City),Simple Map,176600,Queenwood (Hamilton City)
176700,St James,Simple Map,176700,St James
176800,Crawshaw,Simple Map,176800,Crawshaw
176900,Huntington,Simple Map,176900,Huntington
177000,Western Heights (Hamilton City),Simple Map,177000,Western Heights (Hamilton City)
177100,Nawton West,Simple Map,177100,Nawton West
177200,Nawton East,Simple Map,177200,Nawton East
177300,Chartwell,Simple Map,177300,Chartwell
177400,Forest Lake (Hamilton City),Simple Map,177400,Forest Lake (Hamilton City)
177500,Chedworth,Simple Map,177500,Chedworth
177600,Beerescourt,Simple Map,177600,Beerescourt
177700,Miropiko,Simple Map,177700,Miropiko
177800,Porritt,Simple Map,177800,Porritt
177901,Dinsdale North,Many To Many Map,177900,Dinsdale North
178000,Maeroa,Simple Map,178000,Maeroa
178100,Dinsdale South,Simple Map,178100,Dinsdale South
178201,Fairfield North (Hamilton City),Many To One Map,178200,Fairfield (Hamilton City)
178202,Fairfield South (Hamilton City),Many To One Map,178200,Fairfield (Hamilton City)
178301,Whitiora,Many To Many Map,178300,Whitiora
178400,Enderley North,Simple Map,178400,Enderley North
178500,Fairview Downs,Simple Map,178500,Fairview Downs
178600,Temple View,Simple Map,178600,Temple View
178701,Swarbrick,Many To Many Map,178700,Swarbrick
178701,Swarbrick,Many To Many Map,177900,Dinsdale North
178800,Kahikatea,Simple Map,178800,Kahikatea
178901,Frankton Junction,Many To Many Map,178900,Frankton Junction
178901,Frankton Junction,Many To Many Map,179000,Kirikiriroa
179001,Kirikiriroa,Many To Many Map,179000,Kirikiriroa
179001,Kirikiriroa,Many To Many Map,178300,Whitiora
179100,Enderley South,Simple Map,179100,Enderley South
179201,Greenhill Park,Many To One Map,179200,Ruakura
179202,Ruakura,Many To One Map,179200,Ruakura
179300,Claudelands,Simple Map,179300,Claudelands
179401,Hamilton Central,Many To Many Map,179400,Hamilton Central
179501,Hamilton Lake North,Many To Many Map,179500,Hamilton Lake
179501,Hamilton Lake North,Many To Many Map,179400,Hamilton Central
179502,Hamilton Lake South,Many To Many Map,179800,Hamilton West
179502,Hamilton Lake South,Many To Many Map,179500,Hamilton Lake
179600,Peachgrove,Simple Map,179600,Peachgrove
179700,Hamilton East Village,Simple Map,179700,Hamilton East Village
179801,Hamilton West,Many To Many Map,179800,Hamilton West
179901,Greensboro,Many To Many Map,179900,Greensboro
180000,Hamilton East Cook,Simple Map,180000,Hamilton East Cook
180100,Melville North,Simple Map,180100,Melville North
180200,Hamilton East,Simple Map,180200,Hamilton East
180300,Melville South,Simple Map,180300,Melville South
180400,Deanwell,Simple Map,180400,Deanwell
180500,Bader,Simple Map,180500,Bader
180601,Hillcrest West (Hamilton City),Many To Many Map,179900,Greensboro
180601,Hillcrest West (Hamilton City),Many To Many Map,180600,Hillcrest West (Hamilton City)
180700,Hillcrest East (Hamilton City),Simple Map,180700,Hillcrest East (Hamilton City)
180800,Silverdale (Hamilton City),Simple Map,180800,Silverdale (Hamilton City)
180900,Glenview,Simple Map,180900,Glenview
181000,Resthill,Simple Map,181000,Resthill
181101,Fitzroy (Hamilton City),Simple Map,181100,Fitzroy
181200,Riverlea,Simple Map,181200,Riverlea
181301,Peacocke,Simple Map,181300,Peacockes
181400,Te Pahu,Simple Map,181400,Te Pahu
181500,Ngahinapouri,Simple Map,181500,Ngahinapouri
181600,Lake Cameron,Simple Map,181600,Lake Cameron
181700,Lake Ngaroto,Simple Map,181700,Lake Ngaroto
181800,Kaipaki,Simple Map,181800,Kaipaki
181900,Pirongia,Simple Map,181900,Pirongia
182000,Hautapu Rural,Simple Map,182000,Hautapu Rural
182101,Pokuru,Many To Many Map,182100,Pokuru
182201,Te Rahu,Many To Many Map,182200,Te Rahu
182300,Fencourt,Simple Map,182300,Fencourt
182400,Hautapu,Simple Map,182400,Hautapu
182500,Karapiro,Simple Map,182500,Karapiro
182600,Cambridge North,Simple Map,182600,Cambridge North
182700,Cambridge West,Simple Map,182700,Cambridge West
182800,Cambridge East,Simple Map,182800,Cambridge East
182900,Cambridge Park-River Garden,Simple Map,182900,Cambridge Park-River Garden
183000,Oaklands-St Kilda,Simple Map,183000,Oaklands-St Kilda
183101,Pukerimu,Many To Many Map,183100,Pukerimu
183200,Cambridge Central,Simple Map,183200,Cambridge Central
183300,Te Awamutu North,Simple Map,183300,Te Awamutu North
183401,Te Awamutu West,Many To Many Map,182100,Pokuru
183401,Te Awamutu West,Many To Many Map,183400,Te Awamutu West
183500,Leamington West,Simple Map,183500,Leamington West
183600,Goodfellow Park,Simple Map,183600,Goodfellow Park
183701,Leamington South,Many To Many Map,183100,Pukerimu
183701,Leamington South,Many To Many Map,183700,Leamington South
183800,Leamington Central,Simple Map,183800,Leamington Central
183900,Leamington East,Simple Map,183900,Leamington East
184000,Te Awamutu Stadium,Simple Map,184000,Te Awamutu Stadium
184100,Te Awamutu Central,Simple Map,184100,Te Awamutu Central
184201,Pekerau,Many To Many Map,182200,Te Rahu
184201,Pekerau,Many To Many Map,184200,Pekerau
184201,Pekerau,Many To Many Map,184600,Rotoorangi
184300,Fraser Street,Simple Map,184300,Fraser Street
184400,Sherwin Park,Simple Map,184400,Sherwin Park
184501,St Leger,Many To Many Map,184500,St Leger
184601,Rotoorangi,Many To Many Map,184600,Rotoorangi
184601,Rotoorangi,Many To Many Map,184500,St Leger
184700,Tokanui,Simple Map,184700,Tokanui
184800,Kihikihi Central,Simple Map,184800,Kihikihi Central
184900,Maungatautari,Simple Map,184900,Maungatautari
185000,Rotongata,Simple Map,185000,Rotongata
185100,Inlets Otorohanga District,Simple Map,185100,Inlets Otorohanga District
185200,Pirongia Forest,Simple Map,185200,Pirongia Forest
185300,Honikiwi,Simple Map,185300,Honikiwi
185400,Te Kawa,Simple Map,185400,Te Kawa
185500,Otorohanga,Simple Map,185500,Otorohanga
185600,Maihiihi,Simple Map,185600,Maihiihi
185700,Puniu,Simple Map,185700,Puniu
185800,Tirau,Simple Map,185800,Tirau
185900,Putaruru Rural,Simple Map,185900,Putararu Rural
186000,Putaruru,Simple Map,186000,Putararu
186100,Kinleith,Simple Map,186100,Kinleith
186200,Paraonui,Simple Map,186200,Paraonui
186300,Parkdale,Simple Map,186300,Parkdale
186400,Matarawa,Simple Map,186400,Matarawa
186500,Stanley Park,Simple Map,186500,Stanley Park
186600,Strathmore (South Waikato District),Simple Map,186600,Strathmore (South Waikato District)
186700,Tokoroa Central,Simple Map,186700,Tokoroa Central
186800,Moananui,Simple Map,186800,Moananui
186900,Inlet Waitomo District,Simple Map,186900,Inlet Waitomo District
187000,Herangi,Simple Map,187000,Herangi
187100,Hangatiki,Simple Map,187100,Hangatiki
187200,Aria,Simple Map,187200,Aria
187300,Te Kuiti West,Simple Map,187300,Te Kuiti West
187400,Te Kuiti East,Simple Map,187400,Te Kuiti East
187500,Waipa Valley,Simple Map,187500,Waipa Valley
187600,Tiroa,Simple Map,187600,Tiroa
187701,Marotiri,Many To One Map,187700,Marotiri
187702,Mangakino,Many To One Map,187700,Marotiri
187800,Ohakuri,Simple Map,187800,Ohakuri
187900,Lake Taupo Bays,Simple Map,187900,Lake Taupo Bays
188001,Mapara,Many To One Map,188000,Mapara
188002,Kinloch,Many To One Map,188000,Mapara
188100,Inland water Lake Taupo,Simple Map,188100,Inland water Lake Taupo
188200,Wairakei-Broadlands,Simple Map,188200,Wairakei-Broadlands
188300,Acacia Bay,Simple Map,188300,Acacia Bay
188400,Brentwood (Taupo District),Simple Map,188400,Brentwood (Taupo District)
188501,Nukuhau,Many To One Map,188500,Nukuhau-Rangatira Park
188502,Rangatira Park,Many To One Map,188500,Nukuhau-Rangatira Park
188600,Taupo Central West,Simple Map,188600,Taupo Central West
188701,Tauhara,Many To One Map,188700,Tauhara
188702,Centennial,Many To One Map,188700,Tauhara
188800,Taupo Central East,Simple Map,188800,Taupo Central East
188900,Mountview,Simple Map,188900,Mountview
189000,Bird Area,Simple Map,189000,Bird Area
189101,Hilltop (Taupo District),Many To One Map,189100,Hilltop (Taupo District)
189102,Invergarry,Many To One Map,189100,Hilltop (Taupo District)
189200,Waipahihi,Simple Map,189200,Waipahihi
189300,Richmond Heights,Simple Map,189300,Richmond Heights
189400,Wharewaka,Simple Map,189400,Wharewaka
189500,Kaimanawa,Simple Map,189500,Kaimanawa
189600,Waitahanui,Simple Map,189600,Waitahanui
189700,Turangi,Simple Map,189700,Turangi
189800,Rangataiki,Simple Map,189800,Rangataiki
189900,Taharua,Simple Map,189900,Taharua
190000,Te More,Simple Map,190000,Te More
190100,Waiau,Simple Map,190100,Waiau
190200,Waihi Beach-Bowentown,Simple Map,190200,Waihi Beach-Bowentown
190300,Tahawai,Simple Map,190300,Tahawai
190400,Athenree,Simple Map,190400,Athenree
190501,Aongatete,Many To Many Map,190500,Aongatete
190501,Aongatete,Many To Many Map,190600,Katikati
190601,Katikati North,Many To Many Map,190600,Katikati
190602,Katikati South,Many To Many Map,190500,Aongatete
190602,Katikati South,Many To Many Map,190600,Katikati
190700,Inlet Tauranga Harbour North,Simple Map,190700,Inlet Tauranga Harbour North
190800,Matakana Island,Simple Map,190800,Matakana Island
190901,Pahoia West,Many To One Map,190900,Pahoia
190902,Pahoia East,Many To One Map,190900,Pahoia
191001,Omokoroa North,Simple Map,191000,Omokoroa
191101,Omokoroa South,Many To Many Map,191100,Omokoroa Rural
191201,Te Puna,Many To Many Map,191100,Omokoroa Rural
191201,Te Puna,Many To Many Map,191200,Te Puna
191300,Minden,Simple Map,191300,Minden
191400,Kaimai,Simple Map,191400,Kaimai
191501,Kopurererua,Many To Many Map,191500,Kopurererua
191502,Keenan Road,Many To Many Map,191500,Kopurererua
191601,Waitao,Simple Map,191600,Kaitemako (Western Bay of Plenty District)
191700,Waiorohi,Simple Map,191700,Waiorohi
191801,Otawa,Many To Many Map,191800,Otawa
191801,Otawa,Many To Many Map,191900,Te Puke West
191901,Te Puke West,Many To Many Map,191900,Te Puke West
192000,Rangiuru,Simple Map,192000,Rangiuru
192101,Te Puke East,Many To Many Map,192100,Te Puke East
192102,Te Puke South,Many To Many Map,191900,Te Puke West
192102,Te Puke South,Many To Many Map,192100,Te Puke East
192200,Inlets Maketu,Simple Map,192200,Inlets Maketu
192300,Maketu,Simple Map,192300,Maketu
192400,Pukehina Beach,Simple Map,192400,Pukehina Beach
192500,Pongakawa,Simple Map,192500,Pongakawa
192600,Matua North,Simple Map,192600,Matua North
192700,Inlet Tauranga Harbour South,Simple Map,192700,Inlet Tauranga Harbour South
192800,Mount Maunganui North,Simple Map,192800,Mount Maunganui North
192900,Matua South,Simple Map,192900,Matua South
193000,Bethlehem North,Simple Map,193000,Bethlehem North
193100,Bellevue,Simple Map,193100,Bellevue
193201,Otumoetai North,Many To Many Map,193200,Otumoetai North
193202,Otumoetai East,Many To Many Map,193200,Otumoetai North
193202,Otumoetai East,Many To Many Map,193300,Otumoetai South
193301,Otumoetai South,Many To Many Map,193300,Otumoetai South
193400,Brookfield West,Simple Map,193400,Brookfield West
193500,Bethlehem Central,Simple Map,193500,Bethlehem Central
193600,Brookfield East,Simple Map,193600,Brookfield East
193700,Mount Maunganui South,Simple Map,193700,Mount Maunganui South
193800,Tauranga Central,Simple Map,193800,Tauranga Central
193900,Mount Maunganui Central,Simple Map,193900,Mount Maunganui Central
194000,Judea,Simple Map,194000,Judea
194100,Te Reti,Simple Map,194100,Te Reti
194200,Bethlehem South,Simple Map,194200,Bethlehem South
194300,Omanu Beach,Simple Map,194300,Omanu Beach
194400,Tauranga Hospital,Simple Map,194400,Tauranga Hospital
194500,Tauriko,Many To Many Map,194500,Tauriko
194500,Tauriko,Many To Many Map,191500,Kopurererua
194601,Gate Pa,Many To Many Map,194600,Gate Pa
194700,Greerton South,Simple Map,194700,Greerton South
194801,Tauranga South,Many To Many Map,194800,Tauranga South
194802,Fraser Cove,Many To Many Map,194800,Tauranga South
194802,Fraser Cove,Many To Many Map,194600,Gate Pa
194900,Arataki North,Simple Map,194900,Arataki North
195000,Matapihi,Simple Map,195000,Matapihi
195101,Pyes Pa North West,Many To One Map,195100,Pyes Pa West
195102,Pyes Pa West,Many To One Map,195100,Pyes Pa West
195200,Greerton North,Simple Map,195200,Greerton North
195300,Yatton Park,Simple Map,195300,Yatton Park
195401,Pyes Pa North,Many To Many Map,195400,Pyes Pa North
195500,Arataki South,Simple Map,195500,Arataki South
195601,Pyes Pa South,Many To Many Map,195400,Pyes Pa North
195601,Pyes Pa South,Many To Many Map,195600,Pyes Pa South
195700,Poike,Simple Map,195700,Poike
195800,Te Maunga North,Simple Map,195800,Te Maunga North
195900,Maungatapu,Simple Map,195900,Maungatapu
196000,Hairini,Simple Map,196000,Hairini
196100,Pyes Pa East,Simple Map,196100,Pyes Pa East
196201,Te Maunga South,Many To One Map,196200,Te Maunga South
196202,Pacific Lakes,Many To One Map,196200,Te Maunga South
196301,Kaitemako,Simple Map,196300,Kaitemako (Tauranga City)
196400,Ohauiti,Simple Map,196400,Ohauiti
196500,Baypark-Kairua,Simple Map,196500,Baypark-Kairua
196600,Welcome Bay West,Simple Map,196600,Welcome Bay West
196700,Welcome Bay East,Simple Map,196700,Welcome Bay East
196800,Pacific View,Simple Map,196800,Pacific View
196900,Welcome Bay South,Simple Map,196900,Welcome Bay South
197000,Palm Beach North,Simple Map,197000,Palm Beach North
197100,Palm Beach South-Gravatt,Simple Map,197100,Palm Beach South-Gravatt
197200,Papamoa Beach North,Simple Map,197200,Papamoa Beach North
197300,Doncaster,Many To Many Map,191800,Otawa
197300,Doncaster,Many To Many Map,197300,Doncaster
197400,Papamoa Beach South,Simple Map,197400,Papamoa Beach South
197500,Motiti,Simple Map,197500,Motiti
197601,Wairakei West,Many To One Map,197600,Wairakei
197602,Wairakei Central,Many To One Map,197600,Wairakei
197603,Wairakei East-Te Tumu,Many To One Map,197600,Wairakei
197700,Tui Ridge,Simple Map,197700,Tui Ridge
197800,Arahiwi,Simple Map,197800,Arahiwi
197900,Ngongotaha Valley,Simple Map,197900,Ngongotaha Valley
198000,Hamurana,Simple Map,198000,Hamurana
198100,Ngongotaha East,Simple Map,198100,Ngongotaha East
198200,Ngongotaha West,Simple Map,198200,Ngongotaha West
198300,Inland water Lake Rotorua,Simple Map,198300,Inland water Lake Rotorua
198400,Ngongotaha South,Simple Map,198400,Ngongotaha South
198500,Selwyn Heights,Simple Map,198500,Selwyn Heights
198600,Pleasant Heights,Simple Map,198600,Pleasant Heights
198700,Rotoiti-Rotoehu,Simple Map,198700,Rotoiti-Rotoehu
198800,Kawaha,Simple Map,198800,Kawaha
198900,Fairy Springs,Simple Map,198900,Fairy Springs
199000,Western Heights (Rotorua District),Simple Map,199000,Western Heights (Rotorua District)
199100,Pukehangi North,Simple Map,199100,Pukehangi North
199200,Pukehangi South,Simple Map,199200,Pukehangi South
199300,Mangakakahi Central,Simple Map,199300,Mangakakahi Central
199400,Koutu,Simple Map,199400,Koutu
199500,Mangakakahi West,Simple Map,199500,Mangakakahi West
199600,Sunnybrook,Simple Map,199600,Sunnybrook
199700,Fordlands,Simple Map,199700,Fordlands
199800,Kuirau,Simple Map,199800,Kuirau
199900,Utuhina,Simple Map,199900,Utuhina
200000,Pomare,Simple Map,200000,Pomare
200100,Rotorua Central,Simple Map,200100,Rotorua Central
200200,Hillcrest (Rotorua District),Simple Map,200200,Hillcrest (Rotorua District)
200300,Victoria,Simple Map,200300,Victoria
200401,Waiohewa,Many To Many Map,200400,Waiohewa
200401,Waiohewa,Many To Many Map,201000,Holdens Bay-Rotokawa
200500,Glenholme North,Simple Map,200500,Glenholme North
200600,Springfield South,Simple Map,200600,Springfield South
200700,Springfield North,Simple Map,200700,Springfield North
200800,Glenholme South,Simple Map,200800,Glenholme South
200900,Owhata West,Simple Map,200900,Owhata West
201001,Holdens Bay-Rotokawa,Many To Many Map,201000,Holdens Bay-Rotokawa
201100,Ngapuna,Simple Map,201100,Ngapuna
201200,Fenton Park,Simple Map,201200,Fenton Park
201300,Tihiotonga-Whakarewarewa,Simple Map,201300,Tihiotonga-Whakarewarewa
201401,Owhata East,Many To Many Map,200400,Waiohewa
201401,Owhata East,Many To Many Map,201400,Owhata East
201501,Lynmore,Many To Many Map,201500,Lynmore
201501,Lynmore,Many To Many Map,200400,Waiohewa
201600,Ngakuru,Simple Map,201600,Ngakuru
201700,Kaingaroa-Whakarewarewa,Simple Map,201700,Kaingaroa-Whakarewarewa
201800,Golden Springs,Simple Map,201800,Golden Springs
201900,Manawahe,Simple Map,201900,Manawahe
202000,Matata-Otakiri,Simple Map,202000,Matata-Otakiri
202100,Onepu Spring,Simple Map,202100,Onepu Spring
202200,Edgecumbe,Simple Map,202200,Edgecumbe
202300,Thornton-Awakeri,Simple Map,202300,Thornton-Awakeri
202400,Te Teko Lakes,Simple Map,202400,Te Teko Lakes
202500,Coastlands,Simple Map,202500,Coastlands
202600,Whakatane West,Simple Map,202600,Whakatane West
202700,Whakatane Central,Simple Map,202700,Whakatane Central
202800,Trident,Simple Map,202800,Trident
202900,Allandale,Simple Map,202900,Allandale
203000,Mokorua Bush,Simple Map,203000,Mokorua Bush
203100,Wainui,Simple Map,203100,Wainui
203200,Ohope,Simple Map,203200,Ohope
203300,Inlet Ohiwa Harbour West,Simple Map,203300,Inlet Ohiwa Harbour West
203400,Galatea,Simple Map,203400,Galatea
203500,Waingarara-Waimana,Simple Map,203500,Waingarara-Waimana
203600,Murupara,Simple Map,203600,Murupara
203700,Monika Reserve,Simple Map,203700,Monika Reserve
203800,Kawerau Industrial,Simple Map,203800,Kawerau Industrial
203901,Kawerau Central,Many To One Map,203900,Tarawera Park
203902,Tarawera Park,Many To One Map,203900,Tarawera Park
204000,Inlet Ohiwa Harbour East,Simple Map,204000,Inlet Ohiwa Harbour East
204101,Waiotahe,Many To Many Map,204100,Waiotahi
204101,Waiotahe,Many To Many Map,204300,Woodlands
204200,Cape Runaway,Simple Map,204200,Cape Runaway
204301,Woodlands,Many To Many Map,204300,Woodlands
204400,Opotiki,Simple Map,204400,Opotiki
204500,Otara-Tirohanga,Simple Map,204500,Otara-Tirohanga
204600,Oponae,Simple Map,204600,Oponae
204700,East Cape,Simple Map,204700,East Cape
204800,Waipaoa,Simple Map,204800,Waipaoa
204900,Ruatoria-Raukumara,Simple Map,204900,Ruatoria-Raukumara
205000,Tokomaru,Simple Map,205000,Tokomaru
205100,Hangaroa,Simple Map,205100,Hangaroa
205201,Wharekaka,Many To Many Map,205200,Wharekaka
205300,Te Arai,Simple Map,205300,Te Arai
205401,Hexton,Many To Many Map,205400,Hexton
205500,Lytton,Simple Map,205500,Lytton
205601,Makaraka-Awapuni,Many To Many Map,205400,Hexton
205601,Makaraka-Awapuni,Many To Many Map,205600,Makaraka-Awapuni
205700,Riverdale,Simple Map,205700,Riverdale
205800,Te Hapara North,Simple Map,205800,Te Hapara North
205900,Mangapapa North,Simple Map,205900,Mangapapa North
206000,Elgin,Simple Map,206000,Elgin
206100,Te Hapara South,Simple Map,206100,Te Hapara South
206200,Mangapapa East,Simple Map,206200,Mangapapa East
206300,Mangapapa South,Simple Map,206300,Mangapapa South
206400,Te Hapara East,Simple Map,206400,Te Hapara East
206500,Centennial Crescent,Simple Map,206500,Centennial Crescent
206601,Whataupoko East,Many To Many Map,205400,Hexton
206601,Whataupoko East,Many To Many Map,206600,Whataupoko East
206700,Whataupoko West,Simple Map,206700,Whataupoko West
206801,Gisborne Central,Many To One Map,206800,Gisborne Central
206802,Inlet Eastland Port,Many To One Map,206800,Gisborne Central
206900,Kaiti North,Simple Map,206900,Kaiti North
207000,Kaiti South,Simple Map,207000,Kaiti South
207100,Outer Kaiti,Simple Map,207100,Outer Kaiti
207200,Tamarau,Simple Map,207200,Tamarau
207301,Wainui-Okitu,Many To Many Map,207300,Wainui-Okitu
207301,Wainui-Okitu,Many To Many Map,205200,Wharekaka
207400,Maungataniwha-Raupunga,Simple Map,207400,Maungataniwha-Raupunga
207500,Inland water Lake Waikaremoana,Simple Map,207500,Inland water Lake Waikaremoana
207600,Frasertown-Ruakituri,Simple Map,207600,Frasertown-Ruakituri
207700,Whakaki,Simple Map,207700,Whakaki
207800,Wairoa,Simple Map,207800,Wairoa
207900,Mahia,Simple Map,207900,Mahia
208001,Puketitiri-Tutira,Many To Many Map,208000,Puketitiri-Tutira
208100,Sherenden-Crownthorpe,Simple Map,208100,Sherenden-Crownthorpe
208200,Maraekakaho,Simple Map,208200,Maraekakaho
208301,Puketapu-Eskdale,Many To Many Map,208000,Puketitiri-Tutira
208301,Puketapu-Eskdale,Many To Many Map,208300,Puketapu-Eskdale
208401,Omahu-Pakowhai,Many To Many Map,209600,Clive
208401,Omahu-Pakowhai,Many To Many Map,208300,Puketapu-Eskdale
208401,Omahu-Pakowhai,Many To Many Map,208400,Omahu-Pakowhai
208500,Bridge Pa,Simple Map,208500,Bridge Pa
208601,Twyford,Many To Many Map,208600,Twyford
208700,Poukawa,Simple Map,208700,Poukawa
208800,Flaxmere West,Simple Map,208800,Flaxmere West
208901,Omahu Strip,Many To Many Map,208900,Omahu Strip
208901,Omahu Strip,Many To Many Map,208600,Twyford
209000,Lochain Park,Simple Map,209000,Lochain Park
209100,Flaxmere Park,Simple Map,209100,Flaxmere Park
209201,Flaxmere South,Many To Many Map,209300,Irongate
209201,Flaxmere South,Many To Many Map,209200,Flaxmere South
209301,Irongate,Many To Many Map,209300,Irongate
209401,Frimley,Many To Many Map,209400,Frimley
209401,Frimley,Many To Many Map,208600,Twyford
209500,Camberley,Simple Map,209500,Camberley
209601,Clive,Many To Many Map,209600,Clive
209700,St Leonards,Simple Map,209700,St Leonards
209800,Mahora,Simple Map,209800,Mahora
209901,Raureka,Many To Many Map,209900,Raureka
209901,Raureka,Many To Many Map,210200,Longlands-Pukahu
210000,Cornwall Park,Simple Map,210000,Cornwall Park
210100,Tomoana,Simple Map,210100,Tomoana
210201,Longlands-Pukahu,Many To Many Map,210200,Longlands-Pukahu
210300,Raceway Park,Simple Map,210300,Raceway Park
210400,Karamu,Simple Map,210400,Karamu
210500,Hastings Central,Simple Map,210500,Hastings Central
210600,Tomoana Crossing,Simple Map,210600,Tomoana Crossing
210700,Akina Park,Simple Map,210700,Akina Park
210800,Queens Square,Simple Map,210800,Queens Square
210900,Mayfair,Simple Map,210900,Mayfair
211000,Parkhaven,Simple Map,211000,Parkhaven
211100,Parkvale,Simple Map,211100,Parkvale
211201,Mangateretere,Many To Many Map,211200,Mangateretere
211201,Mangateretere,Many To Many Map,209600,Clive
211201,Mangateretere,Many To Many Map,211300,Haumoana-Te Awanga
211201,Mangateretere,Many To Many Map,212200,Kahuranaki
211301,Haumoana,Many To Many Map,211300,Haumoana-Te Awanga
211302,Te Awanga,Many To Many Map,211300,Haumoana-Te Awanga
211401,Lucknow,Many To Many Map,210200,Longlands-Pukahu
211401,Lucknow,Many To Many Map,211400,Lucknow
211500,Karanema-St Hill,Simple Map,211500,Karanema-St Hill
211600,Havelock North-Central,Simple Map,211600,Havelock North-Central
211701,Brookvale,Many To Many Map,211200,Mangateretere
211701,Brookvale,Many To Many Map,211700,Brookvale
211800,Iona,Simple Map,211800,Iona
211900,Hereworth,Simple Map,211900,Hereworth
212000,Te Mata Hills,Simple Map,212000,Te Mata Hills
212100,Havelock Hills,Simple Map,212100,Havelock Hills
212201,Kahuranaki,Many To Many Map,211300,Haumoana-Te Awanga
212201,Kahuranaki,Many To Many Map,211200,Mangateretere
212201,Kahuranaki,Many To Many Map,212200,Kahuranaki
212301,Bay View (Napier City),Simple Map,212300,Bay View
212400,Poraiti Hills,Simple Map,212400,Poraiti Hills
212500,Poraiti Flat,Simple Map,212500,Poraiti Flat
212600,Westshore,Simple Map,212600,Westshore
212700,Inlet Napier City,Simple Map,212700,Inlet Napier City
212800,Onekawa West,Simple Map,212800,Onekawa West
212900,Ahuriri,Simple Map,212900,Ahuriri
213000,Taradale West,Simple Map,213000,Taradale West
213100,Greenmeadows West,Simple Map,213100,Greenmeadows West
213200,Taradale South,Simple Map,213200,Taradale South
213300,Bluff Hill,Simple Map,213300,Bluff Hill
213400,Hospital Hill,Simple Map,213400,Hospital Hill
213500,Tamatea West,Simple Map,213500,Tamatea West
213600,Tamatea North,Simple Map,213600,Tamatea North
213700,Taradale Central,Simple Map,213700,Taradale Central
213800,Tamatea East,Simple Map,213800,Tamatea East
213900,Marewa West,Simple Map,213900,Marewa West
214000,Greenmeadows Central,Simple Map,214000,Greenmeadows Central
214100,Onekawa Central,Simple Map,214100,Onekawa Central
214200,Pirimai West,Simple Map,214200,Pirimai West
214300,Napier Central,Simple Map,214300,Napier Central
214400,Greenmeadows South,Simple Map,214400,Greenmeadows South
214500,Nelson Park,Simple Map,214500,Nelson Park
214600,Bledisloe Park,Simple Map,214600,Bledisloe Park
214700,Pirimai East,Simple Map,214700,Pirimai East
214800,Onekawa East,Simple Map,214800,Onekawa East
214900,Tareha Reserve,Simple Map,214900,Tareha Reserve
215000,Marewa East,Simple Map,215000,Marewa East
215101,Onekawa South,Many To Many Map,215100,Onekawa South
215101,Onekawa South,Many To Many Map,215400,Meeanee-Awatoto
215200,McLean Park,Simple Map,215200,McLean Park
215300,Maraenui,Simple Map,215300,Maraenui
215401,Meeanee-Awatoto,Many To Many Map,215400,Meeanee-Awatoto
215500,Mangaonuku,Simple Map,215500,Mangaonuku
215600,Makaretu,Simple Map,215600,Makaretu
215700,Waipawa,Simple Map,215700,Waipawa
215801,Waipukurau West,Many To Many Map,216100,Taurekaitai
215801,Waipukurau West,Many To Many Map,215800,Waipukurau West
215900,Mangarara,Simple Map,215900,Mangarara
216000,Waipukurau East,Simple Map,216000,Waipukurau East
216101,Taurekaitai,Many To Many Map,216100,Taurekaitai
216200,Port Taranaki,Simple Map,216200,Port Taranaki
216300,Spotswood,Simple Map,216300,Spotswood
216401,Omata,Many To Many Map,216400,Omata
216500,Oakura,Simple Map,216500,Oakura
216600,Moturoa,Simple Map,216600,Moturoa
216700,Kaitake,Simple Map,216700,Kaitake
216800,Blagdon-Lynmouth,Simple Map,216800,Blagdon-Lynmouth
216900,Kawaroa,Simple Map,216900,Kawaroa
217000,New Plymouth Central,Simple Map,217000,New Plymouth Central
217100,Marfell,Simple Map,217100,Marfell
