sa2_code,sa2_name,dhb,pop_cnt,dose1_cnt,dose2_cnt,dose1_uptake,dose2_uptake
213500,Tamatea West,Hawke's Bay,355,276,221, 777 , 623 
213600,Tamatea North,Hawke's Bay,415,320,240, 771 , 578 
213700,Taradale Central,Hawke's Bay,271,236,201, 871 , 742 
213800,Tamatea East,Hawke's Bay,350,283,218, 809 , 623 
213900,Marewa West,Hawke's Bay,200,149,129, 745 , 645 
214000,Greenmeadows Central,Hawke's Bay,112,99,89, 884 , 795 
214100,Onekawa Central,Hawke's Bay,207,181,144, 874 , 696 
214200,Pirimai West,Hawke's Bay,271,236,187, 871 , 690 
214300,Napier Central,Hawke's Bay,134,108,81, 806 , 604 
214400,Greenmeadows South,Hawke's Bay,311,259,203, 833 , 653 
214500,Nelson Park,Hawke's Bay,297,244,194, 822 , 653 
214600,Bledisloe Park,Hawke's Bay,238,223,192, 937 , 807 
214700,Pirimai East,Hawke's Bay,442,368,273, 833 , 618 
214800,Onekawa East,Hawke's Bay,494,330,249, 668 , 504 
214900,Tareha Reserve,Hawke's Bay,349,295,244, 845 , 699 
215000,Marewa East,Hawke's Bay,1007,717,533, 712 , 529 
215100,Onekawa South,Hawke's Bay,939,682,490, 726 , 522 
215200,McLean Park,Hawke's Bay,370,305,255, 824 , 689 
215300,Maraenui,Hawke's Bay,1554,1072,726, 690 , 467 
215400,Meeanee-Awatoto,Hawke's Bay,346,298,254, 861 , 734 
215500,Mangaonuku,Hawke's Bay,121,109,96, 901 , 793 
215600,Makaretu,Hawke's Bay,334,284,228, 850 , 683 
215700,Waipawa,Hawke's Bay,347,285,229, 821 , 660 
215800,Waipukurau West,Hawke's Bay,500,401,322, 802 , 644 
215900,Mangarara,Hawke's Bay,333,294,222, 883 , 667 
216000,Waipukurau East,Hawke's Bay,366,296,233, 809 , 637 
216100,Taurekaitai,Hawke's Bay,290,211,185, 728 , 638 
216300,Spotswood,Taranaki,656,481,369, 733 , 563 
216400,Omata,Taranaki,49,45,41, 918 , 837 
216500,Oakura,Taranaki,81,71,61, 877 , 753 
216600,Moturoa,Taranaki,235,184,143, 783 , 609 
216700,Kaitake,Taranaki,137,94,74, 686 , 540 
216800,Blagdon-Lynmouth,Taranaki,338,268,223, 793 , 660 
216900,Kawaroa,Taranaki,215,181,137, 842 , 637 
217000,New Plymouth Central,Taranaki,135,106,89, 785 , 659 
217100,Marfell,Taranaki,425,290,222, 682 , 522 
217200,Whalers Gate,Taranaki,107,96,80, 897 , 748 
217300,Strandon,Taranaki,177,142,117, 802 , 661 
217400,Westown ,Taranaki,584,417,321, 714 , 550 
217500,Bell Block West,Taranaki,508,396,315, 780 , 620 
217600,Bell Block East,Taranaki,305,243,194, 797 , 636 
217800,Lower Vogeltown,Taranaki,291,227,200, 780 , 687 
217900,Hurdon,Taranaki,194,163,139, 840 , 716 
218000,Frankleigh Park,Taranaki,251,206,162, 821 , 645 
218100,Merrilands,Taranaki,312,233,181, 747 , 580 
218200,Ferndale,Taranaki,44,35,29, 795 , 659 
218300,Welbourn,Taranaki,314,253,208, 806 , 662 
218400,Fitzroy-Glen Avon,Taranaki,366,296,233, 809 , 637 
218500,Waitara West,Taranaki,1227,809,596, 659 , 486 
218600,Upper Vogeltown,Taranaki,209,164,139, 785 , 665 
218700,Highlands Park (New Plymouth District),Taranaki,149,135,117, 906 , 785 
218800,Paraite,Taranaki,62,57,47, 919 , 758 
218900,Waitara East,Taranaki,887,640,501, 722 , 565 
219000,Lepperton-Brixton,Taranaki,202,167,132, 827 , 653 
219100,Mangorei,Taranaki,74,44,35, 595 , 473 
219200,Mount Messenger,Taranaki,103,75,52, 728 , 505 
219300,Mangaoraka,Taranaki,86,Masked,65, >950 , 756 
219400,Tikorangi,Taranaki,249,182,129, 731 , 518 
219500,Everett Park,Taranaki,133,116,93, 872 , 699 
219600,Inglewood,Taranaki,290,238,189, 821 , 652 
219700,Tarata,Taranaki,42,34,31, 810 , 738 
219800,Pembroke,Taranaki,81,54,45, 667 , 556 
220000,Toko,Taranaki,51,35,29, 686 , 569 
220100,Stratford North,Taranaki,151,116,97, 768 , 642 
220300,Stratford Central,Taranaki,200,139,113, 695 , 565 
220400,Stratford South,Taranaki,200,150,118, 750 , 590 
220500,Cape Egmont,Taranaki,369,264,208, 715 , 564 
220600,Taungatara,Taranaki,110,76,62, 691 , 564 
220700,Opunake,Taranaki,340,275,230, 809 , 676 
220800,Kaponga-Mangatoki,Taranaki,112,77,62, 688 , 554 
220900,Manaia-Kapuni,Taranaki,351,268,215, 764 , 613 
221000,Eltham,Taranaki,322,242,193, 752 , 599 
221100,Okaiawa,Taranaki,179,130,109, 726 , 609 
221200,Te Roti-Moeroa,Taranaki,55,47,37, 855 , 673 
221300,Egmont Showgrounds,Taranaki,188,167,143, 888 , 761 
221400,Normanby-Tawhiti,Taranaki,308,252,208, 818 , 675 
221500,Ohangai,Taranaki,63,43,35, 683 , 556 
221600,Turuturu,Taranaki,302,262,212, 868 , 702 
221700,King Edward Park,Taranaki,252,192,157, 762 , 623 
221800,Ramanui,Taranaki,352,290,242, 824 , 688 
221900,Hawera Central,Taranaki,402,330,265, 821 , 659 
222000,Mangawhio,Taranaki,62,49,36, 790 , 581 
222100,Manutahi-Waitotora,Taranaki,369,287,228, 778 , 618 
222200,Patea,Taranaki,442,368,292, 833 , 661 
222300,Otangiwai-Ohura,Waikato,190,115,89, 605 , 468 
222400,Ngapuke,Waikato,344,228,179, 663 , 520 
222500,Taumarunui North,Waikato,555,397,315, 715 , 568 
222600,Taumarunui Central,Waikato,530,406,335, 766 , 632 
222700,Taumarunui East,Waikato,715,468,357, 655 , 499 
222800,National Park,Waikato,133,101,77, 759 , 579 
222900,Tangiwai,Whanganui,312,220,175, 705 , 561 
223000,Raetihi,Whanganui,521,350,257, 672 , 493 
223100,Ohakune,Whanganui,257,199,164, 774 , 638 
223200,Waiouru,Whanganui,176,147,118, 835 , 670 
223300,Upper Whanganui,Whanganui,343,263,217, 767 , 633 
223400,Mowhanau,Whanganui,123,101,85, 821 , 691 
